Rank,Player,Goals,Apps,Ratio,Years,Club(s) (Goals)
1,Cristiano Ronaldo,134,176,0.76,2003–,Manchester United (15)Real Madrid (105)Juventus (14)
2,Lionel Messi,120,149,0.81,2005–,Barcelona
3,Robert Lewandowski,73,96,0.76,2011–,Borussia Dortmund (17)Bayern Munich (56)
4,Karim Benzema,71,130,0.55,2006–,Lyon (12)Real Madrid (59)
4,Raúl,71,142,0.5,1995–2011,Real Madrid (66)Schalke 04 (5)
6,Ruud van Nistelrooy,56,73,0.77,1998–2009,PSV Eindhoven (8)Manchester United (35)Real Madrid (13)
7,Thierry Henry,50,112,0.45,1997–2012,Monaco (7)Arsenal (35)Barcelona (8)
8,Alfredo Di Stéfano,49,58,0.84,1955–1964,Real Madrid
9,Andriy Shevchenko,48,100,0.48,1994–2012,Dynamo Kyiv (15)Milan (29)Chelsea (4)
9,Zlatan Ibrahimović,48,120,0.4,2001–2017,Ajax (6)Juventus (3)Inter Milan (6)Barcelona (4)Milan (9)Paris Saint-Germain (20)
9,Thomas Müller,48,124,0.39,2008–,Bayern Munich
12,Eusébio,46,65,0.71,1961–1974,Benfica
12,Filippo Inzaghi,46,81,0.57,1997–2012,Juventus (17)Milan (29)
14,Didier Drogba,44,92,0.48,2003–2015,Marseille (5)Chelsea (36)Galatasaray (3)
15,Alessandro Del Piero,42,89,0.47,1995–2009,Juventus
16,Neymar,41,69,0.59,2013–,Barcelona (21)Paris Saint-Germain (20)
16,Sergio Agüero,41,77,0.53,2008–,Atlético Madrid (5)Manchester City (36)
18,Ferenc Puskás,36,41,0.88,1956–1966,Budapest Honvéd (1)Real Madrid (35)
19,Edinson Cavani,35,65,0.54,2011–,Napoli (5)Paris Saint-Germain (30)
20,Gerd Müller,34,35,0.97,1969–1977,Bayern Munich
21,Fernando Morientes,33,93,0.35,1997–2009,Real Madrid (17)Monaco (9)Liverpool (1)Valencia (6)
22,Arjen Robben,31,110,0.28,2002–2018,PSV Eindhoven (3)Chelsea (2)Real Madrid (1)Bayern Munich (25)
23,Samuel Eto'o,30,78,0.38,1999–2014,Mallorca (1)Barcelona (16)Inter Milan (10)Chelsea (3)
23,Wayne Rooney,30,85,0.35,2004–2015,Manchester United
23,Kaká,30,86,0.35,2003–2014,Milan (25)Real Madrid (5)
23,Francisco Gento,30,89,0.34,1955–1969,Real Madrid
27,David Trezeguet,29,58,0.5,1997–2009,Monaco (4)Juventus (25)
27,Roy Makaay,29,61,0.48,2000–2007,Deportivo La Coruña (12)Bayern Munich (17)
27,Patrick Kluivert,29,71,0.41,1994–2006,Ajax (9)Barcelona (20)
30,Jean-Pierre Papin,28,37,0.76,1989–1994,Marseille (19)Milan (7)Bayern Munich (2)
30,Ryan Giggs,28,145,0.19,1993–2014,Manchester United
30,Mohamed Salah,28,58,0.48,2013–,Basel (2)Roma (1)Liverpool (25)
33,Kylian Mbappé,27,45,0.6,2016–,Monaco (6)Paris Saint-Germain (21)
33,Rivaldo,27,73,0.37,1997–2007,Barcelona (22)Milan (2)Olympiacos (3)
35,Mario Gómez,26,44,0.59,2007–2013,VfB Stuttgart (3)Bayern Munich (23)
35,Luis Suárez,26,66,0.39,2010–,Ajax (1)Barcelona (25)
37,Mário Jardel,25,46,0.54,1996–2001,Porto (19)Galatasaray (6)
37,Robin van Persie,25,59,0.42,2002–2014,Arsenal (18)Manchester United (7)
37,Hernán Crespo,25,65,0.38,1997–2007,Parma (2)Lazio (2)Inter Milan (11)Chelsea (4)Milan (6)
37,Antoine Griezmann,25,70,0.36,2014–,Atlético Madrid (21)Barcelona (4)
41,José Altafini,24,28,0.86,1959–1976,Milan (20)Juventus (4)
41,Marco Simone,24,46,0.52,1989–2001,Milan (15)Paris Saint-Germain (3)Monaco (6)
41,José Augusto,24,56,0.43,1960–1969,Benfica
41,Giovane Élber,24,69,0.35,1997–2004,Bayern Munich (21)Lyon (3)
41,Gonzalo Higuaín,24,83,0.29,2007–2020,Real Madrid (8)Napoli (4)Juventus (12)
41,Luís Figo,24,103,0.23,1997–2009,Barcelona (7)Real Madrid (16)Inter Milan (1)
41,Paul Scholes,24,124,0.19,1994–2013,Manchester United
48,Jari Litmanen,23,59,0.39,1993–2003,Ajax (20)Liverpool (3)
48,Frank Lampard,23,105,0.22,2001–2015,Chelsea (23)
50,Santillana,22,46,0.48,1971–1988,Real Madrid
50,Edin Džeko,22,55,0.4,2009–,VfL Wolfsburg (4)Manchester City (3)Roma (15)
50,Ángel Di María,22,94,0.23,2007–,Real Madrid (8)Paris Saint-Germain (14)
